Species,Common
Apis mellifera,Honeybee
Apis mellifera,Honeybee
Apis mellifera,Honeybee
Apis mellifera,Honeybee
Apis mellifera,Honeybee
Apis mellifera,Honeybee
Apis mellifera,Honeybee
Apis mellifera,Honeybee
Apis mellifera,Honeybee
Apis mellifera,Honeybee
Apis mellifera,Honeybee
Apis mellifera,Honeybee
Apis mellifera carnica,Honeybee
Apis mellifera carnica,Honeybee
Apis mellifera carnica,Honeybee
Apis mellifera carnica,Honeybee
Apium graveolens,Celery
Apium graveolens,Celery
Apium graveolens,Celery
Apium graveolens,Celery
Apium graveolens,Celery
Apium graveolens,Celery
Apium graveolens Rapaceum Group,Celery
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Arachis hypogaea,Peanut
Argas reflexus,European pigeon tick
Argas reflexus,European pigeon tick
Artemisia absinthium,
Artemisia annua,
Artemisia annua,
Artemisia annua,
Artemisia annua,
Artemisia argyi,
Artemisia capillaris,
Artemisia capillaris,
Artemisia capillaris,
Artemisia desertorum,
Artemisia gmelinii,
Artemisia gmelinii,
Artemisia gmelinii,
Artemisia gmelinii,
Artemisia lavandulifolia,
Artemisia lavandulifolia,
Artemisia lavandulifolia,
Artemisia lavandulifolia,
Artemisia ludoviciana,
Artemisia sieversiana,
Artemisia sieversiana,
Artemisia sieversiana,
Artemisia sieversiana,
Artemisia sieversiana,
Artemisia sieversiana,
Artemisia sieversiana,
Artemisia sieversiana,
Artemisia tridentata,
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris,Mugwort
Arthroderma benhamiae,Fungus
Arthroderma benhamiae,Fungus
Arthroderma benhamiae,Fungus
Arthroderma vanbreuseghemii,Fungus
Ascaris lumbricoides,Parasitic roundworm
Ascaris lumbricoides,Parasitic roundworm
Ascaris lumbricoides,Parasitic roundworm
Ascaris lumbricoides,Parasitic roundworm
Ascaris lumbricoides,Parasitic roundworm
Ascaris lumbricoides,Parasitic roundworm
Ascaris lumbricoides,Parasitic roundworm
Ascaris lumbricoides,Parasitic roundworm
Ascaris lumbricoides,Parasitic roundworm
Ascaris lumbricoides,Parasitic roundworm
Ascaris lumbricoides,Parasitic roundworm
Ascaris suum,Parasitic roundworm
Ascaris suum,Parasitic roundworm
Ascaris suum,Parasitic roundworm
Ascaris suum,Parasitic roundworm
Aspergillus flavus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus,Fungus
Aspergillus fumigatus Af293,Fungus
Aspergillus fumigatus Af293,Fungus
Aspergillus fumigatus var. RP-2014,Fungus
Aspergillus fumigatus var. RP-2014,Fungus
Aspergillus niger,Fungus
Aspergillus niger,Fungus
Aspergillus niger,Fungus
Aspergillus oryzae,Fungus
Aspergillus oryzae,Fungus
Aspergillus oryzae,Fungus
Aspergillus versicolor,Fungus
Bacillus lentus,Bacteria
Bacillus licheniformis,Bacteria
Bacillus licheniformis,Bacteria
Bacillus sp.,Bacteria
Bacillus subtilis,
Balanus rostratus,Crustacean
Bassia scoparia,summer cypress
Bassia scoparia,summer cypress
Batillus cornutus,Japanese turban shell
Bertholletia excelsa,Brazil nut
Bertholletia excelsa,Brazil nut
Bertholletia excelsa,Brazil nut
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula pendula,European white birch
Betula platyphylla,Japanese white birch
Betula platyphylla,Japanese white birch
Betula platyphylla,Japanese white birch
Betula sp.,Birch
Betula sp.,Birch
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blattella germanica,German cockroach
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Blomia tropicalis,Mite
Bombus pennsylvanicus,Bumblebee
Bombus pennsylvanicus,Bumblebee
Bombus terrestris,Bumblebee
Bombus terrestris,Bumblebee
Bombyx mori,Silkworm
Bombyx mori,Silkworm
Bombyx mori,Silkworm
Bombyx mori,Silkworm
Bombyx mori,Silkworm
Bos grunniens mutus,Yak
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Bos taurus,Bovine
Brassica juncea,Mustard
Brassica napus,Rape
Brassica napus,Rape
Brassica napus,Rape
Brassica napus,Rape
Brassica oleracea var. oleracea,Wild cabbage
Brassica rapa,Turnip
Brassica rapa,Turnip
Brassica rapa,Turnip
Brassica rapa subsp. rapa,Turnip
Brassica rapa subsp. rapa,Turnip
Candida albicans,Yeast
Candida albicans,Yeast
Candida albicans,Yeast
Canis familiaris,Dog
Canis familiaris,Dog
Canis familiaris,Dog
Canis familiaris,Dog
Canis familiaris,Dog
Canis familiaris,Dog
Canis familiaris,Dog
Canis familiaris,Dog
Canis familiaris,Dog
Canis familiaris,Dog
Canis familiaris,Dog
Canis familiaris,Dog
Canis familiaris,Dog
Cannabis sativa,Hemp
Cannabis sativa,Hemp
Cannabis sativa,Hemp
Capsicum annuum,Bell pepper
Capsicum annuum,Bell pepper
Carica papaya,Papaya
Carica papaya,Papaya
Carica papaya,Papaya
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carpinus betulus,Hornbeam
Carya illinoinensis,Pecan
Carya illinoinensis,Pecan
Carya illinoinensis,Pecan
Carya illinoinensis,Pecan
Carya illinoinensis,Pecan
Caryota mitis,Fishtail Palm
Castanea sativa,European chestnut
Castanea sativa,European chestnut
Castanea sativa,European chestnut
Castanea sativa,European chestnut
Castanea sativa,European chestnut
Castanea sativa,European chestnut
Catharanthus roseus,Madagascar periwinkle
Cavia porcellus,Domestic guinea pig
Cavia porcellus,Domestic guinea pig
Cavia porcellus,Domestic guinea pig
Cavia porcellus,Domestic guinea pig
Chamaecyparis obtusa,Japanese cypress
Chamaecyparis obtusa,Japanese cypress
Chamaecyparis obtusa,Japanese cypress
Chamaecyparis obtusa,Japanese cypress
Charybdis feriatus,Crab
Chenopodium album,Pigweed
Chenopodium album,Pigweed
Chenopodium album,Pigweed
Chenopodium album,Pigweed
Cherax quadricarinatus,
Chionoecetes opilio,Snow Crab
Chironomus kiiensis,Midge
Chironomus thummi thummi,Midge
Chironomus thummi thummi,Midge
Chironomus thummi thummi,Midge
Chironomus thummi thummi,Midge
Chironomus thummi thummi,Midge
Chironomus thummi thummi,Midge
Chironomus thummi thummi,Midge
Chironomus thummi thummi,Midge
Chironomus thummi thummi,Midge
Chironomus thummi thummi,Midge
Chironomus thummi thummi,Midge
Chironomus thummi thummi,Midge
Chironomus thummi thummi,Midge
Chironomus thummi thummi,Midge
Chironomus thummi thummi,Midge
Chortoglyphus arcuatus,
Cicer arietinum,
Citrullus lanatus,
Citrus limon,Lemon
Citrus sinensis,Navel orange
Citrus sinensis,Navel orange
Citrus sinensis,Navel orange
Citrus sinensis,Navel orange
Citrus sinensis,Navel orange
Cladosporium cladosporioides,Fungus
Cladosporium cladosporioides,Fungus
Clupea harengus,Atlantic herring
Clupea harengus,Atlantic herring
Clupea harengus,Atlantic herring
Cochliobolus lunatus,Fungus
Cochliobolus lunatus,Fungus
Cochliobolus lunatus,Fungus
Cochliobolus lunatus,Fungus
Coffea arabica,Coffee
Coffea arabica,Coffee
Coffea arabica,Coffee
Coprinus comatus,Shaggy mane
Coptotermes formosanus,
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Corylus avellana,European hazelnut
Crangon crangon,Shrimp
Crangon crangon,Shrimp
Crangon crangon,Shrimp
Crangon crangon,Shrimp
Crangon crangon,Shrimp
Crangon crangon,Shrimp
Crassostrea angulata,
Crassostrea angulata,
Crassostrea gigas,American  oyster
Crassostrea gigas,American  oyster
Crassostrea virginica,Eastern oyster
Crocus sativus,Saffron crocus
Crocus sativus,Saffron crocus
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Cryptomeria japonica,Japanese cedar
Ctenopharyngodon idella,
Cucumis melo,Muskmelon
Cucumis melo,Muskmelon
Cucumis melo,Muskmelon
Cucumis melo,Muskmelon
Cucumis melo var. inodorus,Muskmelon
Cucumis melo var. reticulatus,Netted muskmelon
Cucurbita maxima,
Cucurbita maxima,
Culicoides nubeculosus,Farmyyard midge
Culicoides nubeculosus,Farmyyard midge
Cupressus arizonica,Arizona Cypress
Cupressus arizonica,Arizona Cypress
Cupressus arizonica,Arizona Cypress
Cupressus arizonica,Arizona Cypress
Cupressus arizonica,Arizona Cypress
Cupressus sempervirens,Mediterranean Cypress
Cupressus sempervirens,Mediterranean Cypress
Cupressus sempervirens,Mediterranean Cypress
Cupressus sempervirens,Mediterranean Cypress
Cupressus sempervirens,Mediterranean Cypress
Cupressus sempervirens,Mediterranean Cypress
Cupressus sempervirens,Mediterranean Cypress
Cupressus sempervirens,Mediterranean Cypress
Cupressus sempervirens,Mediterranean Cypress
Cynodon dactylon,Bermuda grass
Cynodon dactylon,Bermuda grass
Cynodon dactylon,Bermuda grass
Cynodon dactylon,Bermuda grass
Cynodon dactylon,Bermuda grass
Cynodon dactylon,Bermuda grass
Cynodon dactylon,Bermuda grass
Cynodon dactylon,Bermuda grass
Cynodon dactylon,Bermuda grass
Cynodon dactylon,Bermuda grass
Cynodon dactylon,Bermuda grass
Cynodon dactylon,Bermuda grass
Cynodon dactylon,Bermuda grass
Cynodon dactylon,Bermuda grass
Cyprinus carpio,Carp
Cyprinus carpio,Carp
Dactylis glomerata,Orchard grass
Dactylis glomerata,Orchard grass
Dactylis glomerata,Orchard grass,,,,,,
Dactylis glomerata,Orchard grass,,,,,,
Dactylis glomerata,Orchard grass,,,,,,
Dactylis glomerata,Orchard grass,,,,,,
Dactylis glomerata,Orchard grass,,,,,,
Dactylis glomerata,Orchard grass,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Daucus carota,Carrot,,,,,,
Davidiella tassiana,Fungus,,,,,,
Davidiella tassiana,Fungus,,,,,,
Davidiella tassiana,Fungus,,,,,,
Davidiella tassiana,Fungus,,,,,,
Davidiella tassiana,Fungus,,,,,,
Davidiella tassiana,Fungus,,,,,,
Davidiella tassiana,Fungus,,,,,,
Davidiella tassiana,Fungus,,,,,,
Davidiella tassiana,Fungus,,,,,,
Davidiella tassiana,Fungus,,,,,,
Davidiella tassiana,Fungus,,,,,,
Davidiella tassiana,Fungus,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
