Recipe Name,Ingredients,Allergy?,Potential Allergy,Type
Caesar Salad Roast Chicken,"paste, grated, divided, serving, divided, more, lb.), salt, lengthwise, divided, grated, pieces, hearts, separated, torn",No,,
Chicken and Rice With Leeks and Salsa Verde,"size), pepper, divided, sliced, divided, clear, broth, fillet, cloves, capers, flakes, mint), oil",No,,
Gorditas con Camarones,"Maseca), divided, more, removed, adobo, cumin, deveined, sliced, thyme, vinegar, honey, pieces, onion, avocado, stems, serving)",Yes,"avocado, honey, onion","Oral Allergy Syndrome, Honey Allergy, Allium Allergy"
Enfrijoladas,"divided, tortillas, chorizo, crushed, serving, salt, drained, broth, crumbled, serving)",No,,
Caramelized Plantain Parfait,"oil, lengthwise, salt, yogurt, sliced, nuts, seeds, serving)",Yes,yogurt,Milk allergy / Lactose intolerance
Chicken and Potato Gratin With Brown Butter Cream,"drumsticks, divided, lengthwise, ends, divided, cream, grated, pepper, nutmeg, thyme, leaves, pieces, lemon, (optional)",Yes,"cream, lemon","Milk allergy / Lactose intolerance, Citrus Allergy"
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Pure,"orange, one), juice, vinegar, sugar, salt, oil, seeds, medium, oil, vinegar, water, pepper, oil, cashews, one), oil, salt, orange, Beets, oil, salt, Puree, Cashews, tarragon, fronds, Chips",Yes,"orange, sugar","Citrus Allergy, Sugar Allergy / Intolerance"
Kale and Pumpkin Falafels With Pickled Carrot Slaw,"seeds), leaves), crushed, drained, turmeric, leaves, pepper, pumpkin, brushing, serve, peeler, vinegar, honey, sliced, leaves",Yes,"honey, pumpkin","Honey Allergy, Unknown"
Maple and Chile Roasted Squash With Quinoa Tabouli,"halved, oil, syrup, flakes, pepper, chopped, quinoa, leaves, leaves, tahini, juice, water, crushed, flakes",No,,
Chhena Poda (Spiced Cheesecake),"pan, homemade, sugar, cardamom, semolina, homemade, milk, cashews, raisins, sugar, (optional), serving",Yes,"milk, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Paneer,"milk, lemons, salt",Yes,milk,Milk allergy / Lactose intolerance
Sloppy Joe Shirred Eggs With Spinach,"pieces, tomatoes, divided, minced, packed), divided, turkey, cumin, paprika, pepper, Onions, vinegar, Reggiano, (optional)",Yes,turkey,Poultry Allergy
R-Rated Onions,"onions, oil, salt",No,,
Miso-Squash Ramen,"oil, miso, sugar, tamari, pieces, oil, chopped, chopped, broth, miso, pepper, lengthwise, fresh, stems",Yes,sugar,Sugar Allergy / Intolerance
Spicy Coconut Pumpkin Soup,"oil, chunks, minced, minced, minced, sugar, cumin, milk, broth, pepper, cilantro",Yes,"milk, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Baigan Chokha,"eggplants, oil, chopped, chopped, chopped, taste, taste, cilantro, Roti, serving",No,,
Dads Curried Chicken,"removed, juice, Seasoning, salt, chopped, crushed, Powder, oil, chopped, water, rice, serving",Yes,rice,Rice Allergy
Trinidad Curry Powder,"pods, seeds, seeds, seeds, seeds, (optional), peppercorns, cloves, turmeric",No,,
Shrimp Creole,"minced, fine, stalks), dice, dice, oil, broth, chopped, leaf, cumin, taste, pepper, deveined, rice, margarine",Yes,rice,Rice Allergy
Green Seasoning,"chives, leaves, thyme, oregano, parsley, garlic",Yes,"garlic, parsley","Allium Allergy, Hypersensitivity"
Chicken Pelau,"peas, rice, oil, brown), removed, chopped, chopped, milk, leaf, Seasoning, parsley, thyme, chopped, parts), salt, squash, pepper, ketchup, butter",Yes,"butter, milk, parsley, peas, peas, rice, squash","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Hypersensitivity, Legume Allergy, Legume Allergy, Rice Allergy, Unknown"
Our Favorite Creamy Mashed Potatoes,"pieces, peeled, more, milk, sprigs, divided, more, cream, mill",Yes,"cream, milk","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Remember the Alimony,"gin, Cynar, sherry, twist, garnish",No,,
Creole Cream Cheesecake With Caramel-Apple Topping,"crackers), sugar, sugar, salt, melted, temperature, sugar, Cheese, paste, temperature, Cheese, butter, sugar, sugar, honey, 7), zest, juice, salt, cinnamon, cardamom, ginger, extract",Yes,"butter, ginger, honey, sugar","Milk allergy / Lactose intolerance, Histamine Allergy, Honey Allergy, Sugar Allergy / Intolerance"
Creole Cream Cheese,"milk, buttermilk, tablet",Yes,"buttermilk, milk","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Buss Up Shut (Paratha Roti),"powder, powder, sugar, dusting, more, temperature, ghee, butter, butter, temperature",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Best Deviled Eggs,"eggs, mayonnaise, mustard, cayenne, chives, (optional)",Yes,eggs,Poultry Allergy
Mango Curry,"cups), cup), lengthwise, matchsticks, matchsticks, vinegar, salt, milk, oil, seeds, half, leaves, (optional), serve",Yes,milk,Milk allergy / Lactose intolerance
Iced Caf de Olla,"sugar, stick, cracked, berries, peppercorns, salt, zest, coffee, serving)",Yes,sugar,Sugar Allergy / Intolerance
Pumpkin Dutch Baby With Pumpkin Butter,"temperature, divided, temperature, divided, flour, divided, allspice, ginger, nutmeg, salt, juice, syrup, sugar, serving",Yes,"ginger, sugar","Histamine Allergy, Sugar Allergy / Intolerance"
Braised Chicken Legs With Grapes and Fennel,"dry, divided, divided, fronds, cups), broth, honey, chiles, vinegar",Yes,honey,Honey Allergy
Old-Fashioned Scalloped Potatoes,"onion, butter, flour, milk, potatoes, ounces), crumbs",Yes,"butter, milk, onion","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Allium Allergy"
Yogurt and Spice Roasted Salmon,"cubes, yogurt, granules, harissa, turmeric, paprika, juice, oil, pepper, wraps, tomatoes, onion, leaves, yogurt",Yes,"onion, yogurt","Allium Allergy, Milk allergy / Lactose intolerance"
Pita,"water, yeast, needed, bowl, salt",No,,
Veselka's Famous Borscht,"peeled, vinegar, halved, stock, leaf, berries, peppercorns, sliced, sliced, cups), dice, rinsed, Salt",No,,
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,"dry, more, pepper, (uziza), discarded, cilantro, oil, chopped, chopped, organic), powder, halved, (23), sugar, divided, divided, pepper, powder, serving), pestle",Yes,sugar,Sugar Allergy / Intolerance
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),"apricots, arrack, butter, cinnamon, sugar, pods, (uziza), oil, chopped, sliced, chopped, organic), flakes, rosemary, thyme, powder, more, pure, powder, broth, knife, pestle",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Summer Bean Soup With Tomato Brown Butter,"beans, kombu, tomatoes, ribs, carrot, only, intact, minced, fillets, oil, syrup, salt, flakes, mustard, bacon, pieces, sliced, flakes, lemon, grated, below), quartered, oil, vinegar, Butter, feta, leaves, garnish",Yes,"carrot, lemon","Hypersensitivity, Citrus Allergy"
Tomato Brown Butter,"g), butter, salt, pepper",Yes,butter,Milk allergy / Lactose intolerance
Maple-Roasted Acorn Squash,"seeded, diced, serving, oil, pepper, salt, Maldon, serving",No,,
Coconut-Creamed Corn and Grains,"oil, sliced, matchsticks, sliced, serving, turmeric, removed, quinoa), serving, salt, Maesri), serving)",No,,
Tomato and Roasted Garlic Pie,"thick, oil, more, more, peeled, butter, crackers, eggs, cups), cup), mayonnaise, leaves, sliced, pan",Yes,"butter, eggs","Milk allergy / Lactose intolerance, Poultry Allergy"
Paneer With Burst Cherry Tomato Sauce,"sliced, matchsticks, sliced, seeds, seeds, seeds, powder, turmeric, divided, dry, salt, cups), large, (optional), leaves, serving)",No,,
Sesame-Scallion Chicken Salad,"total), more, diagonal, cucumbers, divided, juice, tahini, sauce, honey, flakes, lettuce, stems, serving)",Yes,"honey, lettuce","Honey Allergy, LTP Allergy"
Maple Barbecue Grilled Chicken,"oil, crushed, paste, syrup, sauce, sauce, vinegar, sauce, grill), cooking, salt",No,,
Spiced Lamb and Dill Yogurt Pasta,"yolks, yogurt, divided, divided, butter, almonds, raisins, more, cumin, pepper, lamb, pasta, lemon",Yes,"butter, lemon, yogurt","Milk allergy / Lactose intolerance, Citrus Allergy, Milk allergy / Lactose intolerance"
Salt-and-Pepper Fish,"rice, scallions, grated, divided, pieces, salt, pepper, vinegar, sugar, butter, pieces",Yes,"butter, rice, sugar","Milk allergy / Lactose intolerance, Rice Allergy, Sugar Allergy / Intolerance"
Salmon Burgers With Ginger and Quick-Pickled Cucumbers,"pieces, scallions, grated, grated, mayonnaise, more, oil, divided, lengthwise, sliced, sugar, oil, flour, cilantro), watercress, (optional), buns, toasted",Yes,"sugar, watercress","Sugar Allergy / Intolerance, Unknown"
Fish Tacos al Pastor,"removed, removed, pieces, juice, paste, chopped, juice, salt, chopped, chopped, pineapple), serving, grill), tortillas, serving)",No,,
Nut Butter Granola Bars,"hazelnuts), seeds, pan, divided, blueberries), butter, honey, salt, extract, white",Yes,"butter, honey","Milk allergy / Lactose intolerance, Honey Allergy"
Zucchini-Lentil Fritters With Lemony Yogurt,"yogurt, juice, sugar, salt, dal), oz.), sliced, more, pepper, turmeric, stems, zest, oil",Yes,"sugar, yogurt","Sugar Allergy / Intolerance, Milk allergy / Lactose intolerance"
Fried Onions,"oil, onions, sliced",No,,
Sour Cream and Onion Potato Salad,"potatoes, more, cream, mayonnaise, powder, mustard, pepper, grated, divided, end, chips",Yes,cream,Milk allergy / Lactose intolerance
Tropi-Cobb Salad,"coriander, cumin, turmeric, flakes, divided, crushed, pieces, salt, juice, sliced, sliced, sliced, leaves, halved, salt, flakes, serving)",No,,
Pork Meatballs and Cucumber Salad,"raisins, pieces, more, divided, nuts, divided, egg, grated, breadcrumbs), parsley, serving, pepper, pork, one), parsley), vinegar, serving)",Yes,parsley,Hypersensitivity
Frozen Avocado Cake,"pan), g), g), milk, avocados, temperature, salt, lemons, limes",Yes,milk,Milk allergy / Lactose intolerance
Chocolate Zucchini Cake,"flour, powder, soda, salt, sugar, temperature, oil, eggs, extract, buttermilk, medium), chips, walnuts",Yes,"buttermilk, eggs, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Sugar Allergy / Intolerance"
Swiss Chard Pasta With Toasted Hazelnuts and Parmesan,"hazelnuts, (farfalle), needed, minced, pepper, flakes, sliced, shaved, (optional)",No,,
Sweet Corn Frittata With Cherry Tomato Compote,"oil, minced, work), wine, sliced, salt, pepper, fat, separately, minced, chunks, kernels, eggs, flakes, cheese, crumbled",Yes,"cheese, eggs","Milk allergy / Lactose intolerance, Poultry Allergy"
Tomato Pie With Sour Cream Crust,"dusting, salt, parsley, diced, yogurt, vinegar, water, fat, sliced, cherries), Parmesan, cheese, mayonnaise, leaves, parsley, thyme, pepper, beaten, milk, cream, water",Yes,"cheese, cream, milk, parsley, yogurt","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Hypersensitivity, Milk allergy / Lactose intolerance"
Pork Chops and Padrn Chiles en Escabche,"total), divided, seeds, off, thick, sliced, diagonal, vinegar, vinegar, honey, paprika, divided, oregano, pestle",Yes,honey,Honey Allergy
Doenjang Jjigae ( / Fermented-Soybean Stew),"Dashi, paste), paste), flakes), minced, taste, dice, chunks, bias, bias, strips, cubes, scallions, batons",No,,
"Dakgangjeong ( / Korean Sweet, Crunchy Fried Chicken)","headnote), salt, pepper, starch, oil, (optional), honey, sauce, sugar, vinegar, mustard, oil, mined, ginger, peppers, seeds, (optional)",Yes,"ginger, honey, sugar","Histamine Allergy, Honey Allergy, Sugar Allergy / Intolerance"
Spicy Pork Belly Sliders,"sliced, paste), sauce, garlic, sugar, sake, mirin, oil, squares, butter, buns, Mayonnaise, cucumbers, peeled, lengthwise, seeded, matchsticks",Yes,"butter, garlic, sugar","Milk allergy / Lactose intolerance, Allium Allergy, Sugar Allergy / Intolerance"
Thai MuslimStyle Grilled Chicken,"chicken, peppercorns, cloves, stems, sugar, sauce, turmeric, salt, coriander, cumin, cardamom, pineapple, vinegar, chopped, chopped, sugar, salt, pepper, turmeric, sugar, salt, oil, optional), cilantro, serving), pestle",Yes,"chicken, pineapple, sugar","Poultry Allergy, Oral Allergy Syndrome, Sugar Allergy / Intolerance"
Fresh Fruit Tart With Almond Press-In Crust,"yolks, flour, flour, sugar, salt, pieces, milk, extract, yolks, sugar, cornstarch, salt, pieces, blueberries, large, bottom",Yes,"milk, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Coconut Rice,"rice, extracted, water, sugar, salt, cream, extracted",Yes,"cream, rice, sugar","Milk allergy / Lactose intolerance, Rice Allergy, Sugar Allergy / Intolerance"
Peach and Sesame Crumble,"seeds, lemon, sliced, sugar, divided, flour, butter, cinnamon, tahini, oil, cornstarch, optional)",Yes,"butter, lemon, sugar","Milk allergy / Lactose intolerance, Citrus Allergy, Sugar Allergy / Intolerance"
Pear and Hazelnut Frangipane Tart,"cooled, sugar, flour, softened, eggs, extract, extract, shell, pears, preserves, strained",Yes,"eggs, sugar","Poultry Allergy, Sugar Allergy / Intolerance"
Melted Broccoli Pasta With Capers and Anchovies,"salt, florets, pasta, divided, Note), fillets, salt-packed), minced, flakes",No,,
Dashi,"water, (kombu), mushrooms, removed)",No,,
Ginger and Tamarind Refresher,"water, paste, young, sugar, water",Yes,sugar,Sugar Allergy / Intolerance
Sumac and Saffron Refresher,"garnish, sugar, smashed, sumac, water",Yes,sugar,Sugar Allergy / Intolerance
Peanut Butter Brookies,"butter, sugar, yolks, flour, soda), salt, chopped, greasing, powder, sugar, sugar, salt, extract, eggs, flour",Yes,"butter, eggs, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Sugar Allergy / Intolerance"
"Tacos de Gobernador (Shrimp, Poblano, and Cheese Tacos)","oil, diced, minced, strips, tortillas, limes, small, lengthwise), salt, Jack), wedges, salsa",No,,
Kimchi Toast,"temperature, (optional), diagonal, stems, lime, salt, toasted, serving)",Yes,lime,Citrus Allergy
Buttered Tomatoes with Ginger,"scallions, butter, matchsticks, pieces, sauce, (optional), serving)",Yes,butter,Milk allergy / Lactose intolerance
Burst Cherry Tomato Pasta,"drizzling, smashed, pints), large, flakes, more, (optional), pasta, Parmesan, cup), serving",No,,
Salted PB&J; Ice Cream Pie,"choice, chopped, sugar, salt, melted, eggs, sugar, salt, extract, butter, cream, jelly, jam, compote",Yes,"butter, cream, eggs, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Poultry Allergy, Sugar Allergy / Intolerance"
Farmers Market Farro Bowls,"farro, more, eggs, one, vinegar, divided, drained, divided, juice, paste), mayonnaise, sauce, oil, half-moons, carrots, scallions, peas, choy, cucumbers, shoots, sprouts)",Yes,"eggs, peas, peas","Poultry Allergy, Legume Allergy, Legume Allergy"
Fancy and Beautiful Tomato Salad,"size, large, more, lemon, clove, oil, zaatar, chips, honey, planks, large, leaves, large",Yes,"honey, lemon","Honey Allergy, Citrus Allergy"
Chicken Thighs With Tomatoes and Feta,"total), more, pints), paste, vinegar, divided, planks, serving)",No,,
Corn and Chickpea Bowls With Miso Tahini,"chopped, grated, grated, stems, juice, tahini, miso, salt, drizzling, crushed, drained, removed, berbere), salt, large, wedges, wedges, feta, sprigs, serving)",No,,
Stone Fruit Custard Tart,"butter, divided, egg, sugar, flour, salt, powder, eggs, sugar, cream, extract, cardamom, ginger, zest, salt, flour, size, sugar, optional), pan",Yes,"butter, cream, eggs, ginger, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Poultry Allergy, Histamine Allergy, Sugar Allergy / Intolerance"
Platanos Horneados con Crema y Queso (Baked Banana With Crema and Cheese),"unpeeled, fraiche, fresco",No,,
Tamale Pie with Fresh Tomato and Corn,"Sausage, Ground, paste, cumin, divided, divided, divided, cubes, divided, cups), eggs, melted, serving, cornmeal, powder",Yes,eggs,Poultry Allergy
Charred-Peach Panzanella With Pickled Pepper Vinaigrette,"grated, brine, mustard, salt, thick, pieces, thick, lb.), freestone, halved, pitted",No,,
Stuffed Eggplants and Zucchini in a Rich Tomato Sauce (Baatingan w Kusaa Bil Banadoura),"oil, cups/350g), puree, grated, water, sugar, pepper, below), lamb, oil, cinnamon, allspice, cumin, cup/35g), chopped, chopped, chopped, tbsp/10g), tsp, water, size), size), oil, chopped, pestle, tbsp/10g), chopped, torn, leaves, tbsp/10g), yogurt",Yes,"sugar, yogurt","Sugar Allergy / Intolerance, Milk allergy / Lactose intolerance"
"Chicken Meatballs With Molokhieh, Garlic, and Cilantro","grated, thighs, crushed, cumin, cinnamon, allspice, flakes, chopped, chopped, chopped, wedges, pepper, oil, crushed, tbsp, stock, below), cinnamon, pepper, chopped, chopped, oil, crushed, flakes, cilantro, chopped",No,,
Instant Pot Bisibelabath,"divided, akes, seeds, dal, peppercorns, seeds, stick, cloves, (optional), crushed, chopped, salt, minced, turmeric, seeds, rinsed, dal), squash, water, grinder",Yes,squash,Unknown
Tahini-Walnut Magic Shell,"walnuts, chopped, oil, tahini, extract, salt",No,,
Django Reinhardt,"vermouth, juice, note), slices",No,,
Ros All Day,"hulled, chilled, Aperol, juice, water, chilled",No,,
Lentil Burgers,"lentils, yogurt, zest, juice, divided, salt, chopped, miso, paprika, divided, flour, buns, lettuce, serving)",Yes,"lettuce, yogurt","LTP Allergy, Milk allergy / Lactose intolerance"
Nurse,"vermouth, soda, wheel",No,,
Salad Ramen,"vinegar, oil, juice, sauce, seeds, Maras), oil, noodles, salt, radishes, carrots, scallions, cabbage, lettuce, zucchini, cucumbers)",Yes,"cabbage, lettuce","Cruciferous Allergy, LTP Allergy"
Miso-Glazed Salmon With Sushi Rice,"clear, more, sugar, divided, syrup, miso, sauce, serving, oil, fillets, sliced, seeds, optional)",Yes,sugar,Sugar Allergy / Intolerance
Grilled Carrots With Avocado and Mint,"seeds, juice, honey, oil, sliced, grated, salt, lengthwise, pieces, leaves",Yes,honey,Honey Allergy
Double Ripple Ice Cream Cake,"chopped, sugar, salt, walnuts, seeds, B, salt, pan, sugar, tahini, extract, salt, egg, flour, powder, divided, pan",Yes,sugar,Sugar Allergy / Intolerance
Tiger Fruit Salad,"sliced, sliced, vinegar, sugar, more, cilantro, diagonal, diagonal, oil, sauce, lime, seeds, serving)",Yes,"lime, sugar","Citrus Allergy, Sugar Allergy / Intolerance"
Grilled Pork Shoulder With Butter Vinegar Sauce,"seeds, oregano, butt), pork), more, desired, vinegar, butter, sugar, pestle",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
No-Churn Almond and Raspberry Swirl Ice Cream,"raspberries, sugar, divided, milk, extract, cream",Yes,"cream, milk, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
No-Churn Fresh Mint and Chocolate Ice Cream,"mint, divided, chopped, milk, salt, powder",Yes,milk,Milk allergy / Lactose intolerance
Bibingkang Cassava (Cassava Cake),"beaten, thawed, coconut, milk, milk, whites, milk",Yes,milk,Milk allergy / Lactose intolerance
Peach Cobbler,"chunks, lemon, softened, divided, flour, powder, salt, milk, water, cream, serving",Yes,"cream, lemon, milk","Milk allergy / Lactose intolerance, Citrus Allergy, Milk allergy / Lactose intolerance"
Pajeon (  / Scallion Pancakes),"flour, cornstarch, powder, sugar, paste), pepper, soda, yolk, garlic, batons), frying, Sauce",Yes,"garlic, sugar","Allium Allergy, Sugar Allergy / Intolerance"
Pajeon Sauce,"water, vinegar, sauce, flakes), minced, ginger, oil, chile, optional",Yes,ginger,Histamine Allergy
Shaak-no Sambharo (Quick Pickled Vegetables),"oil, seeds), fenugreek), powder, thin, below), vinegar, (optional), vegetables, follows",No,,
Gol-Keri (Quick Mango Achaar),"onions, taste, diced, cumin, coriander, cayenne, jaggery, salt, taste",No,,
Tortillas de Harina (Flour Tortillas),"needed, chilled, salt, water, needed",No,,
Grilling Cheese With Sweet Peppers and Black Lentils,"salt, lentils, vinegar, honey, divided, pepper, pieces, large, oregano, large, salt",Yes,honey,Honey Allergy
Grilled Flatfish With Pistachio-Herb Sauce,"pistachios, chopped, grated, parsley, mint, tarragon, brine, vinegar, salt, oil, turbot), oil, salt, pepper",Yes,parsley,Hypersensitivity
Grilled Mushroom  Antipasto Salad,"large, divided, salt, vinegar, pepper, oregano, grated, pepper, shaved, chopped, brine, chopped",No,,
Brads Spoon Sauce,"pistachios, chopped, grated, parsley, mint, tarragon, brine, vinegar, salt, oil",Yes,parsley,Hypersensitivity
No-Churn Labneh and Lime Ice Cream With Granola,"yogurt, granola, milk, limes, salt, cream, cheesecloth",Yes,"cream, milk, yogurt","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Grilled Eggplant With Garlicky Tahini-Yogurt Sauce,"Graffiti), garlic, yogurt, tahini, salt, halved, serving), Sauce"", Sumac, tart, form, online",Yes,"garlic, yogurt","Allium Allergy, Milk allergy / Lactose intolerance"
Grilled Potatoes With Red Miso Butter,"potatoes, salt, butter, miso, chopped, vinegar, pepper, parsley",Yes,"butter, parsley","Milk allergy / Lactose intolerance, Hypersensitivity"
Cooler-Steamed Corn,"salt, corn, husk",Yes,corn,Corn Allergy
Honey-Glazed Pepper Chicken,"peppercorns, divided, divided, chicken, grill, sliced, syrup, vinegar, pestle",Yes,chicken,Poultry Allergy
Pork Shoulder Steaks With Horseradish-Mustard Sauce,"horseradish, mustard, mustard, honey, salt, (optional), coriander, powder, sugar, pepper, powder, grill), lb.), salt, horseradish, pestle",Yes,"honey, horseradish, sugar","Honey Allergy, Cruciferous Allergy, Sugar Allergy / Intolerance"
Speedy Summer Gazpacho,"chopped, possible), removed, chopped, chopped, grated, lemon, drizzling, vinegar, pepper",Yes,lemon,Citrus Allergy
Black-Eyed Pea Burgers With Creamy Barbecue Sauce and Chowchow,"amaranth, chopped, sliced, chopped, rinsed, stems, sauce, meal, miso, more, pepper, frying), sauce, mayonnaise, Fong), mustard, juice, vinegar, toasted, serving)",No,,
Chowchow,"pieces, pieces, pieces, pieces, salt, seeds, vinegar, vinegar, sugar, mustard, turmeric, cloves, chopped",Yes,sugar,Sugar Allergy / Intolerance
Creole Caesar Salad With Corn Bread Croutons,"Okra, separated, chilled, toasted, tomatoes, cucumber, onion, follows), oil, peeled, onion, vinegar, pepper, celery, sugar, pepper, mayonnaise, cheese, pepper",Yes,"celery, cheese, cucumber, onion, sugar","Hypersensitivity, Milk allergy / Lactose intolerance, Unknown, Allium Allergy, Sugar Allergy / Intolerance"
Jerk Potato Salad,"limes, chopped, grated, chopped, scallions, thyme, oil, sugar, allspice, salt, thyme, pepper, garlic, cinnamon, ginger, nutmeg, pepper, cumin, pieces, pieces, (optional), mayonnaise, chopped, chopped, pepper",Yes,"garlic, ginger, sugar","Allium Allergy, Histamine Allergy, Sugar Allergy / Intolerance"
Grilled Peach Toast With Pimiento Cheese,"pitted, oil, avocado, bread, Bacon, oil, ounces), watercress, salt, pepper",Yes,"avocado, watercress","Oral Allergy Syndrome, Unknown"
Homestyle Dosas with Tomato Chutney,"rice, gram), seeds, salt, oil, chopped, chopped, chopped, salt, seeds, leaves, rbol), gram), (optional), butter, melted, divided, griddle",Yes,"butter, rice","Milk allergy / Lactose intolerance, Rice Allergy"
Shimbra Wat (Chickpeas With Spicy Flaxseed Paste),"flaxseed, sauce, rinsed, Salt",No,,
Infinity Pool,"mezcal, blanc, Note), bitters, water, stalks), juice, wheels",No,,
Division Bell,"Vida, Aperol, liqueur, juice, twist",No,,
Mezcal Mule,"Espadin, juice, juice, nectar, water",No,,
Electron,"Rstico, Note), juice, juice, Bitters, rim, Salt, rim",No,,
Killer Bee,"honey, brand, lemon)",Yes,honey,Honey Allergy
La Pina,"shaker, seeded, leaves, mezcal, juice, note), juice, garnish",No,,
Arinato,"Joven, Blanc, Vermouth, Chartreuse, Liqueur, Bitters, garnish",No,,
Ti' Punch,"lime, syrup, blanc, above, Blanc",Yes,lime,Citrus Allergy
Royal Dock Cooler,"Rum, Note), juice, tea, wheels",Yes,tea,Tannin Allergy
Jungle Bird,"rum, juice, Campari, juice, (1:1), leaf",No,,
Savory Gruyre Bread With Ham,"pan, pan, powder, salt, soda, ham, (optional), leaves, cheese, eggs, buttermilk",Yes,"buttermilk, cheese, eggs","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Poultry Allergy"
Grilled Cauliflower Wedges With Herb Tarator,"almonds, grated, dill, leaves, tahini, juice, pepper, lb.), drizzling), coriander, cumin, turmeric, dill, mint, parsley, cilantro, basil, chives)",Yes,parsley,Hypersensitivity
Open-Face Mushroom Sandwiches With Pecorino Salsa Verde,"separated, vinegar, flakes, pepper, salt, Parmigiano-Reggiano, arugula), oil, trimmed, oil, bread",No,,
Hickory-Smoked Baby Back Ribs,"sugar, salt, powder, paprika, powder, leaves, kg), grill), cider, ketchup, vinegar, mustard, sauce, sauce, molasses, powder, cumin, garlic, pepper",Yes,"garlic, sugar","Allium Allergy, Sugar Allergy / Intolerance"
Grilled Watermelon Salad With Lime Mango Dressing and Cornbread Croutons,"mango, juice, sake, vinegar, chile, salt, oil, slabs, oil, salt, seeds, cayenne, sugar, cornbread, melted, mint), chopped, rings, pepper, mascarpone",Yes,"mango, sugar","Oral Allergy Syndrome, Sugar Allergy / Intolerance"
Fried Plantain Chips With Lime Sour Cream and Mango Hot Sauce,"oil, chopped, Note), chopped, turmeric, mango, taste, vinegar, juice, cream, zest, juice, salt, frying, plantains, pepper",Yes,"cream, mango","Milk allergy / Lactose intolerance, Oral Allergy Syndrome"
